1473408318.392125: rece_time:1473408329.605827093
1473408319.392008: rece_time:1473408330.605789900
1473408320.391995: rece_time:1473408331.605699062
1473408321.342688: rece_time:1473408332.600836992
1473408322.391974: rece_time:1473408333.605775118
1473408323.340800: rece_time:1473408334.600647926
1473408324.339015: rece_time:1473408335.600416899
1473408325.354410: rece_time:1473408336.602083921
1473408326.382454: rece_time:1473408337.604841948
1473408327.391975: rece_time:1473408338.605895042
1473408328.338830: rece_time:1473408339.600502968
1473408329.391983: rece_time:1473408340.605853081
1473408330.371422: rece_time:1473408341.603833914
1473408331.391997: rece_time:1473408342.605823994
1473408332.336755: rece_time:1473408343.600413084
1473408333.335572: rece_time:1473408344.600287914
1473408334.333175: rece_time:1473408345.600056887
1473408335.391992: rece_time:1473408346.605920076
1473408336.392001: rece_time:1473408347.606008053
1473408337.391983: rece_time:1473408348.605951071
1473408338.339491: rece_time:1473408349.600789070
1473408360.652247: rece_time:1473408371.632425070
1473408361.639829: rece_time:1473408372.631102085
1473408362.638799: rece_time:1473408373.631144047
1473408363.591981: rece_time:1473408374.626425028
1473408364.691990: rece_time:1473408375.636408091
1473408365.591993: rece_time:1473408376.626437902
1473408366.641672: rece_time:1473408377.631462097
1473408367.642639: rece_time:1473408378.631479025
1473408368.591985: rece_time:1473408379.626516104
1473408369.673875: rece_time:1473408380.634625912
1473408383.818791: rece_time:1473408394.649405956
1473408384.771984: rece_time:1473408395.644767046
1473408385.949973: rece_time:1473408396.662508011
1473408387.791987: rece_time:1473408398.646703959
1473408389.991996: rece_time:1473408400.666790009
1473408392.981879: rece_time:1473408403.665843010
1473408394.793004: rece_time:1473408405.647020102
1473408395.791984: rece_time:1473408406.646934032
1473408396.791971: rece_time:1473408407.646934032
1473408397.764846: rece_time:1473408408.644215107
1473408398.776407: rece_time:1473408409.645405054
1473408399.791966: rece_time:1473408410.646996975
1473408400.791986: rece_time:1473408411.646879911
1473408401.721503: rece_time:1473408412.639919996
1473408402.769903: rece_time:1473408413.644817114
1473408403.791992: rece_time:1473408414.647057056
1473408404.762417: rece_time:1473408415.644131899
1473408405.791996: rece_time:1473408416.646989107
1473408406.739365: rece_time:1473408417.641791105
1473408407.791993: rece_time:1473408418.647074938
1473408408.791999: rece_time:1473408419.647129059
1473408409.749441: rece_time:1473408420.642822027
1473408410.776162: rece_time:1473408421.645509005
1473408411.792001: rece_time:1473408422.647124052
1473408412.736376: rece_time:1473408423.641539097
1473408413.791993: rece_time:1473408424.647078991
1473408414.785006: rece_time:1473408425.646440029
1473408415.791988: rece_time:1473408426.647128105
1473408416.791993: rece_time:1473408427.647201061
1473408417.692447: rece_time:1473408428.637324095
1473408418.692001: rece_time:1473408429.637175083
1473408419.691992: rece_time:1473408430.637221098
1473408420.764740: rece_time:1473408431.644529104
1473408421.691983: rece_time:1473408432.637278080
1473408422.791985: rece_time:1473408433.647306919
1473408423.791969: rece_time:1473408434.647367001
1473408424.669058: rece_time:1473408435.635132074
1473408425.791975: rece_time:1473408436.647358894
1473408426.791993: rece_time:1473408437.647444963
1473408427.791992: rece_time:1473408438.647417068
1473408428.763306: rece_time:1473408439.644568920
1473408429.691972: rece_time:1473408440.637389898
1473408430.776557: rece_time:1473408441.645821095
1473408431.731723: rece_time:1473408442.641433001
1473408432.691975: rece_time:1473408443.637455940
1473408433.691979: rece_time:1473408444.637476921
1473408434.791983: rece_time:1473408445.647444963
1473408435.775800: rece_time:1473408446.645894051
1473408436.791997: rece_time:1473408447.647525072
1473408437.753301: rece_time:1473408448.643692017
1473408438.791986: rece_time:1473408449.647584915
1473408439.714896: rece_time:1473408450.639846087
1473408440.791978: rece_time:1473408451.647597075
1473408441.688397: rece_time:1473408452.637254953
1473408442.755685: rece_time:1473408453.643930912
1473408443.791997: rece_time:1473408454.647551060
1473408444.832171: rece_time:1473408455.651576042
1473408445.792001: rece_time:1473408456.647608042
1473408446.791984: rece_time:1473408457.647630930
1473408447.691980: rece_time:1473408458.637634039
1473408448.791988: rece_time:1473408459.647703886
1473408449.729828: rece_time:1473408460.641412020
1473408450.791988: rece_time:1473408461.647803068
1473408451.742508: rece_time:1473408462.642791033
1473408452.691998: rece_time:1473408463.637753010
1473408453.721503: rece_time:1473408464.640688896
1473408454.783165: rece_time:1473408465.646967888
1473408455.791997: rece_time:1473408466.647836924
1473408456.791987: rece_time:1473408467.647747040
1473408457.792000: rece_time:1473408468.647795916
1473408458.791994: rece_time:1473408469.647751093
1473408459.733427: rece_time:1473408470.642067909
1473408460.729063: rece_time:1473408471.641597986
1473408461.791997: rece_time:1473408472.647881985
1473408462.791991: rece_time:1473408473.647849083
1473408463.728635: rece_time:1473408474.641534090
1473408464.746893: rece_time:1473408475.643445969
1473408465.780278: rece_time:1473408476.646820068
1473408466.718207: rece_time:1473408477.640657902
1473408467.692001: rece_time:1473408478.638001919
1473408468.791991: rece_time:1473408479.648051977
1473408469.791990: rece_time:1473408480.648078918
1473408470.691981: rece_time:1473408481.637984991
1473408471.676494: rece_time:1473408482.636498928
1473408472.791984: rece_time:1473408483.647965908
1473408473.715778: rece_time:1473408484.640378952
1473408474.791997: rece_time:1473408485.648015976
1473408475.739781: rece_time:1473408486.642954111
1473408476.691978: rece_time:1473408487.638113022
1473408477.732142: rece_time:1473408488.642136097
1473408478.791982: rece_time:1473408489.648129940
1473408479.744319: rece_time:1473408490.643424034
1473408480.692000: rece_time:1473408491.638206959
1473408481.691987: rece_time:1473408492.638200045
1473408482.940748: rece_time:1473408493.663100958
1473408484.992005: rece_time:1473408495.668292999
1473408485.1045220: rece_time:1473408496.673556089
1473408488.991967: rece_time:1473408499.668242931
1473408489.991965: rece_time:1473408500.668322086
1473408490.822706: rece_time:1473408501.651473045
1473408491.791980: rece_time:1473408502.648329973
1473408492.778273: rece_time:1473408503.646985054
1473408493.776878: rece_time:1473408504.646912098
1473408494.893112: rece_time:1473408505.658561945
1473408495.777184: rece_time:1473408506.646964073
1473408496.1018203: rece_time:1473408507.671072960
1473408497.779430: rece_time:1473408508.647196054
1473408498.778416: rece_time:1473408509.647144079
1473408499.784685: rece_time:1473408510.647793055
1473408500.778466: rece_time:1473408511.647178888
1473408501.779116: rece_time:1473408512.647237062
1473408502.783170: rece_time:1473408513.647593021
1473408503.780766: rece_time:1473408514.647397995
1473408504.779627: rece_time:1473408515.647275925
1473408505.1024750: rece_time:1473408516.671794891
1473408506.782991: rece_time:1473408517.647739887
1473408507.782410: rece_time:1473408518.647631884
1473408508.783029: rece_time:1473408519.647711992
1473408509.791602: rece_time:1473408520.648520947
1473408510.782413: rece_time:1473408521.647667885
1473408511.784012: rece_time:1473408522.647758961
1473408512.789567: rece_time:1473408523.648456097
1473408513.782633: rece_time:1473408524.647738934
1473408514.782868: rece_time:1473408525.647749901
1473408515.787615: rece_time:1473408526.648293018
1473408516.789648: rece_time:1473408527.648413897
1473408517.786702: rece_time:1473408528.648211002
1473408518.784021: rece_time:1473408529.648020029
1473408850.9891971: rece_time:1473408862.563885927
1473408852.183445: rece_time:1473408863.593008041
1473408853.391994: rece_time:1473408864.613897085
