1476523825.354635354635: rece_time:1476523846.011178017
1476523826.354740354740: rece_time:1476523847.011308908
1476523827.361597361597: rece_time:1476523848.018157005
1476523828.354701354701: rece_time:1476523849.011358023
1476523829.354745354745: rece_time:1476523850.011329889
1476523830.354853354853: rece_time:1476523851.011394024
1476523831.355190355190: rece_time:1476523852.011826038
1476523832.355030355030: rece_time:1476523853.011681080
1476523833.354947354947: rece_time:1476523854.011668921
1476523834.354950354950: rece_time:1476523855.011576891
1476523835.354961354961: rece_time:1476523856.011677980
1476523836.354923354923: rece_time:1476523857.011670113
1476523837.355106355106: rece_time:1476523858.011800051
1476523838.355026355026: rece_time:1476523859.011744022
1476523839.355176355176: rece_time:1476523860.011873960
1476523840.355006355006: rece_time:1476523861.011725903
1476523841.355251355251: rece_time:1476523862.012061119
1476523842.360174360174: rece_time:1476523863.016956091
1476523843.355269355269: rece_time:1476523864.012054920
1476523844.355235355235: rece_time:1476523865.011955023
1476523845.355139355139: rece_time:1476523866.012017965
1476523846.355175355175: rece_time:1476523867.012046099
1476523847.355464355464: rece_time:1476523868.012291908
1476523848.355545355545: rece_time:1476523869.012453079
1476523849.355275355275: rece_time:1476523870.012118101
1476523850.355317355317: rece_time:1476523871.012268066
1476523851.355327355327: rece_time:1476523872.012305021
1476523852.355356355356: rece_time:1476523873.012409925
1476523853.355419355419: rece_time:1476523874.012366056
1476523854.355451355451: rece_time:1476523875.012386084
1476523855.355465355465: rece_time:1476523876.012345076
1476523856.355524355524: rece_time:1476523877.012532949
1476523857.355514355514: rece_time:1476523878.012543917
1476523858.355489355489: rece_time:1476523879.012481928
1476523859.355597355597: rece_time:1476523880.012610912
1476523860.355548355548: rece_time:1476523881.012665987
1476523861.355623355623: rece_time:1476523882.012661934
1476523862.355664355664: rece_time:1476523883.012785912
1476523863.355592355592: rece_time:1476523884.012834072
1476523864.355692355692: rece_time:1476523885.012860060
1476523865.355650355650: rece_time:1476523886.012723923
1476523866.355695355695: rece_time:1476523887.012780905
1476523867.355832355832: rece_time:1476523888.013037920
1476523868.355814355814: rece_time:1476523889.012970924
1476523869.355942355942: rece_time:1476523890.013102055
1476523870.355938355938: rece_time:1476523891.013201952
1476523871.355797355797: rece_time:1476523892.013103008
1476523872.355815355815: rece_time:1476523893.013048887
1476523873.355864355864: rece_time:1476523894.013128996
1476523874.355919355919: rece_time:1476523895.013200045
1476523875.356104356104: rece_time:1476523896.013449907
1476523876.371735371735: rece_time:1476523897.029020071
1476523877.356115356115: rece_time:1476523898.013400078
1476523878.356034356034: rece_time:1476523899.013305902
1476523879.356036356036: rece_time:1476523900.013343096
1476523880.356082356082: rece_time:1476523901.013519049
1476523881.356230356230: rece_time:1476523902.013617992
1476523882.356266356266: rece_time:1476523903.013689041
1476523883.356326356326: rece_time:1476523904.013750076
1476523884.356117356117: rece_time:1476523905.013631105
1476523885.356330356330: rece_time:1476523906.013768911
1476523886.356173356173: rece_time:1476523907.013616085
1476523887.356199356199: rece_time:1476523908.013703108
1476523888.356280356280: rece_time:1476523909.013799906
1476523889.356270356270: rece_time:1476523910.013762951
1476523890.356379356379: rece_time:1476523911.013894081
1476523891.356319356319: rece_time:1476523912.013899088
1476523892.356547356547: rece_time:1476523913.014085054
1476523893.356551356551: rece_time:1476523914.014049053
1476523894.356456356456: rece_time:1476523915.014018059
1476523895.356445356445: rece_time:1476523916.013968945
1476523896.356649356649: rece_time:1476523917.014300108
1476523897.356671356671: rece_time:1476523918.014336109
1476523898.356915356915: rece_time:1476523919.014555931
1476523899.356717356717: rece_time:1476523920.014386892
1476523900.356593356593: rece_time:1476523921.014214993
1476523901.356691356691: rece_time:1476523922.014400005
1476523902.356584356584: rece_time:1476523923.014303923
1476523903.356687356687: rece_time:1476523924.014403105
1476523904.356697356697: rece_time:1476523925.014468908
1476523905.356744356744: rece_time:1476523926.014523983
1476523906.356683356683: rece_time:1476523927.014406919
1476523907.356786356786: rece_time:1476523928.014579058
1476523908.361674361674: rece_time:1476523929.019438028
