1471962492.4361372: rece_time:1471962492.436816931
1471962493.4385929: rece_time:1471962493.439338923
1471962494.4298749: rece_time:1471962494.430569887
1471962495.4360443: rece_time:1471962495.436753988
1471962496.4379613: rece_time:1471962496.438628912
1471962497.4377895: rece_time:1471962497.438549995
1471962498.4382444: rece_time:1471962498.438925028
1471962499.4401803: rece_time:1471962499.440819979
1471962500.4370251: rece_time:1471962500.437725067
1471962501.4378622: rece_time:1471962501.438699961
1471962502.4377291: rece_time:1471962502.438407898
1471962503.4305135: rece_time:1471962503.431162119
1471962504.4303641: rece_time:1471962504.431071997
1471962505.4306110: rece_time:1471962505.431418896
1471962506.4299548: rece_time:1471962506.430613995
1471962507.4316267: rece_time:1471962507.432398081
1471962508.4308187: rece_time:1471962508.431540012
1471962509.4371531: rece_time:1471962509.437858105
1471962510.4301740: rece_time:1471962510.430845022
1471962511.4315888: rece_time:1471962511.432418108
1471962512.4301572: rece_time:1471962512.430880070
1471962513.4320006: rece_time:1471962513.432665110
1471962514.4318891: rece_time:1471962514.432614088
1471962515.4304406: rece_time:1471962515.431205034
1471962516.4303301: rece_time:1471962516.431107998
1471962517.4308394: rece_time:1471962517.431520939
1471962518.4305243: rece_time:1471962518.431278944
1471962519.4304752: rece_time:1471962519.431206942
1471962520.4310826: rece_time:1471962520.431843996
1471962521.4307043: rece_time:1471962521.431521893
1471962522.4308318: rece_time:1471962522.431651115
1471962523.4319085: rece_time:1471962523.432647943
1471962524.4368864: rece_time:1471962524.437709093
1471962525.4377028: rece_time:1471962525.438469887
1471962526.4401831: rece_time:1471962526.440999985
1471962527.4337387: rece_time:1471962527.434514046
1471962528.4311057: rece_time:1471962528.431885958
1471962529.4309341: rece_time:1471962529.431759119
1471962530.4348547: rece_time:1471962530.435602903
1471962531.4374643: rece_time:1471962531.438220978
1471962532.4379392: rece_time:1471962532.438757896
1471962533.4401928: rece_time:1471962533.440977097
1471962534.4352143: rece_time:1471962534.435918093
1471962535.4372944: rece_time:1471962535.438091993
1471962536.4401836: rece_time:1471962536.440956116
1471962537.4375712: rece_time:1471962537.438386917
1471962538.4403507: rece_time:1471962538.441153049
1471962539.4314019: rece_time:1471962539.432172060
1471962540.4311080: rece_time:1471962540.431921959
1471962541.4315828: rece_time:1471962541.432368994
1471962542.4319515: rece_time:1471962542.432744026
1471962543.4377025: rece_time:1471962543.438510895
1471962544.4358775: rece_time:1471962544.436656952
1471962545.4378264: rece_time:1471962545.438553095
1471962546.4377423: rece_time:1471962546.438499928
1471962547.4367364: rece_time:1471962547.437527895
1471962548.4378553: rece_time:1471962548.438648939
1471962549.4376612: rece_time:1471962549.438410044
1471962550.4376725: rece_time:1471962550.438433886
1471962551.4323834: rece_time:1471962551.433074951
1471962552.4331600: rece_time:1471962552.433851957
1471962553.4319936: rece_time:1471962553.432744026
1471962554.4320009: rece_time:1471962554.432816029
1471962555.4323666: rece_time:1471962555.433046103
1471962556.4319098: rece_time:1471962556.432575941
1471962557.4318618: rece_time:1471962557.432563066
1471962558.4324726: rece_time:1471962558.433255911
1471962559.4320965: rece_time:1471962559.432910919
1471962560.4323624: rece_time:1471962560.433176994
1471962561.4359857: rece_time:1471962561.436688900
1471962562.4323313: rece_time:1471962562.433144093
1471962563.4378381: rece_time:1471962563.438621998
1471962564.4378433: rece_time:1471962564.438544035
1471962565.4401749: rece_time:1471962565.440942049
1471962566.4401767: rece_time:1471962566.440943003
1471962567.4401749: rece_time:1471962567.440862894
1471962568.4378996: rece_time:1471962568.438658953
1471962569.4377577: rece_time:1471962569.438539028
1471962570.4401747: rece_time:1471962570.440958023
1471962571.4401737: rece_time:1471962571.440949917
1471962572.4401739: rece_time:1471962572.440887928
1471962573.4395428: rece_time:1471962573.440280914
1471962574.4401782: rece_time:1471962574.440912008
1471962575.4401847: rece_time:1471962575.440911055
1471962576.4376242: rece_time:1471962576.438400984
1471962577.4377795: rece_time:1471962577.438472033
1471962578.4401823: rece_time:1471962578.440900087
1471962579.4359033: rece_time:1471962579.436647892
1471962580.4334954: rece_time:1471962580.434161901
1471962581.4347261: rece_time:1471962581.435448885
1471962582.4337600: rece_time:1471962582.434500933
1471962583.4328003: rece_time:1471962583.433476925
1471962584.4328342: rece_time:1471962584.433511019
1471962585.4335167: rece_time:1471962585.434322119
1471962586.4405479: rece_time:1471962586.441324949
1471962587.4378246: rece_time:1471962587.438519001
1471962588.4334818: rece_time:1471962588.434230089
1471962589.4331121: rece_time:1471962589.433855057
1471962590.4343319: rece_time:1471962590.435066938
1471962591.4333250: rece_time:1471962591.433995962
1471962592.4331344: rece_time:1471962592.433764935
1471962593.4343463: rece_time:1471962593.435097933
1471962594.4343290: rece_time:1471962594.435061932
1471962595.4355348: rece_time:1471962595.436269045
1471962596.4333610: rece_time:1471962596.434175968
1471962597.4333951: rece_time:1471962597.434190989
1471962598.4338934: rece_time:1471962598.434590101
1471962599.4401805: rece_time:1471962599.440989017
1471962600.4401765: rece_time:1471962600.440857887
1471962601.4375633: rece_time:1471962601.438288927
