1472572503.2775745: rece_time:1472572503.276447058
1472572504.2852021: rece_time:1472572504.284116030
1472572505.2779191: rece_time:1472572505.276807070
1472572506.2782823: rece_time:1472572506.277152061
1472572507.2778717: rece_time:1472572507.276654959
1472572508.2779242: rece_time:1472572508.276712894
1472572509.2779760: rece_time:1472572509.276659012
1472572510.2780253: rece_time:1472572510.276748896
1472572511.2781154: rece_time:1472572511.276732922
1472572512.2785728: rece_time:1472572512.277326107
1472572513.2781625: rece_time:1472572513.276812077
1472572514.2783325: rece_time:1472572514.276894093
1472572515.2783700: rece_time:1472572515.276962042
1472572516.2784223: rece_time:1472572516.277034044
1472572517.2789245: rece_time:1472572517.277463913
1472572518.2788212: rece_time:1472572518.277410984
1472572519.2785884: rece_time:1472572519.277193069
1472572520.2789333: rece_time:1472572520.277504921
1472572521.2788747: rece_time:1472572521.277512074
1472572522.2786368: rece_time:1472572522.277118921
1472572523.2787348: rece_time:1472572523.277283907
1472572524.2788533: rece_time:1472572524.277476072
1472572525.2787491: rece_time:1472572525.277357101
1472572526.2822644: rece_time:1472572526.280848980
1472572527.2789446: rece_time:1472572527.277546883
1472572528.2792149: rece_time:1472572528.277823925
1472572529.2789992: rece_time:1472572529.277571917
1472572530.2791880: rece_time:1472572530.277748108
1472572531.2790479: rece_time:1472572531.277477026
1472572532.2791189: rece_time:1472572532.277656078
1472572533.2791426: rece_time:1472572533.277688980
1472572534.2793237: rece_time:1472572534.277817011
1472572535.2794980: rece_time:1472572535.277959108
1472572536.2850969: rece_time:1472572536.283586025
1472572537.2793411: rece_time:1472572537.277827024
1472572538.2793580: rece_time:1472572538.277848959
1472572539.2796260: rece_time:1472572539.278053045
1472572540.2851400: rece_time:1472572540.283543110
1472572541.2805351: rece_time:1472572541.279004097
1472572542.2797671: rece_time:1472572542.278237104
1472572543.2795629: rece_time:1472572543.278026104
1472572544.2796088: rece_time:1472572544.277982950
1472572545.2851035: rece_time:1472572545.283530951
1472572546.2795970: rece_time:1472572546.278088093
1472572547.2796346: rece_time:1472572547.278104067
1472572548.2796699: rece_time:1472572548.278172016
1472572549.2799448: rece_time:1472572549.278441906
1472572550.2798321: rece_time:1472572550.278356075
1472572551.2802402: rece_time:1472572551.278721094
1472572552.2851176: rece_time:1472572552.283576965
1472572553.2798775: rece_time:1472572553.278369904
1472572554.2850918: rece_time:1472572554.283638000
1472572555.2800857: rece_time:1472572555.278568983
1472572556.2799748: rece_time:1472572556.278570890
1472572557.2802805: rece_time:1472572557.278844118
1472572558.2803533: rece_time:1472572558.278872013
1472572559.2802152: rece_time:1472572559.278765917
1472572560.2804130: rece_time:1472572560.278937101
1472572561.2802974: rece_time:1472572561.278875113
1472572562.2801647: rece_time:1472572562.278775930
1472572563.2801786: rece_time:1472572563.278695107
1472572564.2804896: rece_time:1472572564.279141903
1472572565.2805364: rece_time:1472572565.279191971
1472572566.2804694: rece_time:1472572566.279078007
1472572567.2803372: rece_time:1472572567.278830051
1472572568.2804063: rece_time:1472572568.278980017
1472572569.2803762: rece_time:1472572569.278918028
1472572570.2806989: rece_time:1472572570.279306889
1472572571.2805404: rece_time:1472572571.279077053
1472572572.2804930: rece_time:1472572572.279083967
1472572573.2806479: rece_time:1472572573.279264927
1472572574.2851129: rece_time:1472572574.283747911
1472572575.2806116: rece_time:1472572575.279266119
1472572576.2850986: rece_time:1472572576.283699036
1472572577.2817685: rece_time:1472572577.280483961
1472572578.2819501: rece_time:1472572578.280617952
1472572579.2806891: rece_time:1472572579.279366016
1472572580.2809923: rece_time:1472572580.279654980
1472572581.2807914: rece_time:1472572581.279436111
1472572582.2811686: rece_time:1472572582.279850006
1472572583.2810690: rece_time:1472572583.279740095
1472572584.2809166: rece_time:1472572584.279628038
1472572585.2810865: rece_time:1472572585.279803991
1472572586.2814578: rece_time:1472572586.280194998
1472572587.2810129: rece_time:1472572587.279683113
1472572588.2813812: rece_time:1472572588.280102968
1472572589.2851804: rece_time:1472572589.283849955
1472572590.2813575: rece_time:1472572590.280004978
1472572591.2812482: rece_time:1472572591.279972076
1472572592.2811465: rece_time:1472572592.279757977
1472572593.2813213: rece_time:1472572593.280028105
1472572594.2852125: rece_time:1472572594.283960104
1472572595.2814378: rece_time:1472572595.280131102
1472572596.2812335: rece_time:1472572596.279975891
1472572597.2812697: rece_time:1472572597.280051947
1472572598.2813993: rece_time:1472572598.280244112
1472572599.2818842: rece_time:1472572599.280611992
1472572600.2813944: rece_time:1472572600.280139923
1472572601.2814391: rece_time:1472572601.280222893
1472572602.2815560: rece_time:1472572602.280400991
1472572603.2817035: rece_time:1472572603.280576944
1472572604.2819134: rece_time:1472572604.280740023
1472572605.2815148: rece_time:1472572605.280370951
1472572606.2816152: rece_time:1472572606.280466080
1472572607.2820343: rece_time:1472572607.280926943
1472572608.2820018: rece_time:1472572608.280946970
1472572609.2817379: rece_time:1472572609.280596018
1472572610.2821042: rece_time:1472572610.281073093
1472572611.2817604: rece_time:1472572611.280677080
1472572612.2821453: rece_time:1472572612.281097889
