1472569788.1711408: rece_time:1472569788.172211885
1472569789.1713909: rece_time:1472569789.172369003
1472569790.1711858: rece_time:1472569790.172202110
1472569791.1712595: rece_time:1472569791.172138929
1472569792.1716607: rece_time:1472569792.172537088
1472569793.1715071: rece_time:1472569793.172353983
1472569794.1721039: rece_time:1472569794.172966003
1472569795.1720975: rece_time:1472569795.172854900
1472569796.1727948: rece_time:1472569796.173646927
1472569797.1729020: rece_time:1472569797.173698902
1472569798.1718395: rece_time:1472569798.172682047
1472569799.1718054: rece_time:1472569799.172667980
1472569800.1727892: rece_time:1472569800.173649073
1472569801.1719892: rece_time:1472569801.172805071
1472569802.1726512: rece_time:1472569802.173428059
1472569803.1720779: rece_time:1472569803.172804117
1472569804.1739301: rece_time:1472569804.174729109
1472569805.1719701: rece_time:1472569805.172800064
1472569806.1721478: rece_time:1472569806.172868013
1472569807.1723658: rece_time:1472569807.173187971
1472569808.1720981: rece_time:1472569808.172935963
1472569809.1730463: rece_time:1472569809.173846006
1472569810.1724673: rece_time:1472569810.173213005
1472569811.1724741: rece_time:1472569811.173235893
1472569812.1724136: rece_time:1472569812.173156023
1472569813.1751171: rece_time:1472569813.176004887
1472569814.1723157: rece_time:1472569814.173063993
1472569815.1723897: rece_time:1472569815.173016071
1472569816.1751141: rece_time:1472569816.175877094
1472569817.1725582: rece_time:1472569817.173255920
1472569818.1728934: rece_time:1472569818.173532963
1472569819.1727273: rece_time:1472569819.173463106
1472569820.1728167: rece_time:1472569820.173588037
1472569821.1726436: rece_time:1472569821.173350096
1472569822.1727620: rece_time:1472569822.173378944
1472569823.1728894: rece_time:1472569823.173574924
1472569824.1729484: rece_time:1472569824.173691034
1472569825.1729029: rece_time:1472569825.173527956
1472569826.1729973: rece_time:1472569826.173599958
1472569827.1728922: rece_time:1472569827.173578978
1472569828.1731081: rece_time:1472569828.173823118
1472569829.1731402: rece_time:1472569829.173841953
1472569830.1733630: rece_time:1472569830.173974991
1472569831.1733797: rece_time:1472569831.173981905
1472569832.1731438: rece_time:1472569832.173829079
1472569833.1731707: rece_time:1472569833.173795938
1472569834.1733248: rece_time:1472569834.173913956
1472569835.1736255: rece_time:1472569835.174243927
1472569836.1736025: rece_time:1472569836.174231052
1472569837.1736976: rece_time:1472569837.174372911
1472569838.1735466: rece_time:1472569838.174151897
1472569839.1734273: rece_time:1472569839.174082994
1472569840.1735893: rece_time:1472569840.174173117
1472569841.1735038: rece_time:1472569841.174138069
1472569842.1739048: rece_time:1472569842.174571037
1472569843.1735758: rece_time:1472569843.174160004
1472569844.1740323: rece_time:1472569844.174664021
1472569845.1748286: rece_time:1472569845.175432920
1472569846.1743533: rece_time:1472569846.174976110
1472569847.1739272: rece_time:1472569847.174665928
1472569848.1746008: rece_time:1472569848.175297022
1472569849.1738603: rece_time:1472569849.174525976
1472569850.1738396: rece_time:1472569850.174474955
1472569851.1738340: rece_time:1472569851.174535036
1472569852.1740392: rece_time:1472569852.174727917
1472569853.1740662: rece_time:1472569853.174762011
1472569854.1745203: rece_time:1472569854.175195932
1472569855.1742883: rece_time:1472569855.174942970
1472569856.1741485: rece_time:1472569856.174778938
1472569857.1741105: rece_time:1472569857.174724102
1472569858.1741918: rece_time:1472569858.174743891
1472569859.1743687: rece_time:1472569859.175029993
1472569860.1742830: rece_time:1472569860.174832106
1472569861.1748008: rece_time:1472569861.175415993
1472569862.1743430: rece_time:1472569862.174987078
1472569863.1746294: rece_time:1472569863.175256968
1472569864.1752786: rece_time:1472569864.175888062
1472569865.1753474: rece_time:1472569865.175930977
1472569866.1748675: rece_time:1472569866.175437927
1472569867.1745198: rece_time:1472569867.175101995
1472569868.1747383: rece_time:1472569868.175358057
1472569869.1749137: rece_time:1472569869.175551891
1472569870.1747228: rece_time:1472569870.175251961
1472569871.1754121: rece_time:1472569871.176086903
1472569872.1747445: rece_time:1472569872.175309896
1472569873.1747785: rece_time:1472569873.175314903
1472569874.1747819: rece_time:1472569874.175343990
1472569875.1752494: rece_time:1472569875.175906897
1472569876.1761060: rece_time:1472569876.176723957
1472569877.1748976: rece_time:1472569877.175641060
1472569878.1749064: rece_time:1472569878.175590992
1472569879.1751498: rece_time:1472569879.175751925
1472569880.1756652: rece_time:1472569880.176266909
1472569881.1753622: rece_time:1472569881.175961971
1472569882.1761170: rece_time:1472569882.176688910
1472569883.1753333: rece_time:1472569883.175973892
1472569884.1761260: rece_time:1472569884.176740885
1472569887.1753020: rece_time:1472569887.175937891
1472569888.1754169: rece_time:1472569888.176018000
1472569889.1761674: rece_time:1472569889.176776886
1472569890.1764972: rece_time:1472569890.177136898
1472569891.1754865: rece_time:1472569891.176047087
1472569892.1756523: rece_time:1472569892.176340103
1472569893.1762695: rece_time:1472569893.176862955
1472569894.1757595: rece_time:1472569894.176377058
1472569895.1766809: rece_time:1472569895.177267075
1472569896.1756746: rece_time:1472569896.176320076
1472569897.1759134: rece_time:1472569897.176584959
1472569898.1761620: rece_time:1472569898.176794052
1472569899.1763135: rece_time:1472569899.176894903
1472569900.1761078: rece_time:1472569900.176758051
1472569901.1760915: rece_time:1472569901.176692009
1472569902.1763006: rece_time:1472569902.176978111
1472569903.1770544: rece_time:1472569903.177577019
1472569904.1760128: rece_time:1472569904.176598072
1472569905.1761786: rece_time:1472569905.176752090
1472569906.1765858: rece_time:1472569906.177150965
1472569907.1760912: rece_time:1472569907.176691055
1472569908.1773241: rece_time:1472569908.177957058
1472569909.1765987: rece_time:1472569909.177253962
1472569910.1765355: rece_time:1472569910.177083969
1472569911.1764581: rece_time:1472569911.177031040
1472569912.1763482: rece_time:1472569912.176964998
1472569913.1763302: rece_time:1472569913.176822901
1472569914.1774483: rece_time:1472569914.177979946
1472569915.1765158: rece_time:1472569915.176950932
1472569916.1768373: rece_time:1472569916.177438974
1472569917.1765804: rece_time:1472569917.176985025
1472569918.1766287: rece_time:1472569918.177198887
1472569919.1766133: rece_time:1472569919.177026987
1472569920.1773367: rece_time:1472569920.177954912
1472569921.1771975: rece_time:1472569921.177756071
1472569922.1767038: rece_time:1472569922.177293062
1472569923.1769441: rece_time:1472569923.177452087
