1472537647.4188311: rece_time:1472537647.419295073
1472537648.4188474: rece_time:1472537648.419275999
1472537649.4153366: rece_time:1472537649.415802956
1472537650.4091284: rece_time:1472537650.409583092
1472537651.4127933: rece_time:1472537651.413227081
1472537652.4110333: rece_time:1472537652.411490917
1472537653.4153459: rece_time:1472537653.415781975
1472537654.4162999: rece_time:1472537654.416799068
1472537655.4163529: rece_time:1472537655.416816950
1472537656.4163903: rece_time:1472537656.416841030
1472537657.4162717: rece_time:1472537657.416747093
1472537658.4163597: rece_time:1472537658.416814089
1472537659.4107446: rece_time:1472537659.411257029
1472537660.4131310: rece_time:1472537660.413561106
1472537661.4098833: rece_time:1472537661.410347939
1472537662.4131710: rece_time:1472537662.413614988
1472537663.4095546: rece_time:1472537663.410022974
1472537664.4093065: rece_time:1472537664.409790993
1472537665.4104815: rece_time:1472537665.410948992
1472537666.4099132: rece_time:1472537666.410379887
1472537667.4095250: rece_time:1472537667.410011053
1472537668.4121072: rece_time:1472537668.412560940
1472537669.4094973: rece_time:1472537669.409919977
1472537670.4120718: rece_time:1472537670.412607908
1472537671.4116119: rece_time:1472537671.412106991
1472537672.4098238: rece_time:1472537672.410229921
1472537673.4097750: rece_time:1472537673.410267115
1472537674.4136859: rece_time:1472537674.414163113
1472537675.4173156: rece_time:1472537675.417809010
1472537676.4104708: rece_time:1472537676.410959959
1472537677.4168496: rece_time:1472537677.417363882
1472537678.4187998: rece_time:1472537678.419275045
1472537679.4138614: rece_time:1472537679.414273977
1472537680.4108092: rece_time:1472537680.411309958
1472537681.4104387: rece_time:1472537681.410826921
1472537682.4233133: rece_time:1472537682.423782110
1472537683.4161031: rece_time:1472537683.416538000
1472537684.4159462: rece_time:1472537684.416451931
1472537685.4146090: rece_time:1472537685.415061951
1472537686.4154292: rece_time:1472537686.415879011
1472537687.4162966: rece_time:1472537687.416732073
1472537688.4106700: rece_time:1472537688.411163092
1472537689.4107140: rece_time:1472537689.411161900
1472537690.4133985: rece_time:1472537690.413809061
1472537691.4163464: rece_time:1472537691.416847944
1472537692.4163884: rece_time:1472537692.416882992
1472537693.4163335: rece_time:1472537693.416762114
1472537694.4106543: rece_time:1472537694.411075115
1472537695.4117899: rece_time:1472537695.412194967
1472537696.4113745: rece_time:1472537696.411856890
1472537697.4127620: rece_time:1472537697.413259029
1472537698.4187982: rece_time:1472537698.419265985
1472537699.4107269: rece_time:1472537699.411103010
1472537700.4117629: rece_time:1472537700.412225962
1472537701.4107627: rece_time:1472537701.411204100
1472537702.4108160: rece_time:1472537702.411228895
1472537703.4147846: rece_time:1472537703.415281057
1472537704.4159416: rece_time:1472537704.416410923
1472537705.4155097: rece_time:1472537705.415925980
1472537706.4163358: rece_time:1472537706.416846037
1472537707.4187984: rece_time:1472537707.419264078
1472537708.4160298: rece_time:1472537708.416532040
1472537709.4187993: rece_time:1472537709.419280052
1472537710.4187990: rece_time:1472537710.419122934
1472537711.4163283: rece_time:1472537711.416655064
1472537712.4158032: rece_time:1472537712.416169882
1472537713.4119684: rece_time:1472537713.412417889
1472537714.4189428: rece_time:1472537714.419348955
1472537715.4188010: rece_time:1472537715.419258118
1472537716.4288011: rece_time:1472537716.429142952
1472537717.4189344: rece_time:1472537717.419348001
1472537718.4188166: rece_time:1472537718.419336081
1472537719.4188297: rece_time:1472537719.419327021
1472537720.4160802: rece_time:1472537720.416570902
1472537721.4188258: rece_time:1472537721.419323921
1472537722.4121927: rece_time:1472537722.412604094
1472537723.4124061: rece_time:1472537723.412882090
1472537724.4163739: rece_time:1472537724.416790962
1472537725.4163065: rece_time:1472537725.416663885
1472537726.4165102: rece_time:1472537726.416892052
1472537727.4162815: rece_time:1472537727.416665077
1472537728.4187981: rece_time:1472537728.419189930
1472537729.4187981: rece_time:1472537729.419145107
1472537730.4187983: rece_time:1472537730.419214964
1472537731.4161536: rece_time:1472537731.416615009
1472537732.4187974: rece_time:1472537732.419258118
1472537733.4187990: rece_time:1472537733.419123888
1472537734.4162288: rece_time:1472537734.416557074
1472537735.4163807: rece_time:1472537735.416673899
1472537736.4187982: rece_time:1472537736.419114113
1472537737.4162194: rece_time:1472537737.416593075
